,symbol,ind,trade,buyPrice,qty,buyTime,sellPrice,sellTime,profit,profit_ps,status,buy_dt,sell_dt
687ae3dc,BTCEUR,rand,long,57108.46,0.000875296815415995,1634746694.337785,57100.0,1634746695.3619182,-0.007405011058418554,-0.0072,closed--1-n,211020-181814,211020-181815
8e0ac844,LTCEUR,rand,long,174.9,0.2858776443682104,1634746694.4170396,174.9,1634746694.4253168,0.0,0.0,closed--1-n,211020-181814,211020-181814
a435e30e,DOGEEUR,rand,long,0.2155,232.0185614849188,1634746694.590414,0.2155,1634746695.6228273,0.0,0.0,closed--1-n,211020-181814,211020-181815
cbc9da84,BTCEUR,rand,long,57100.0,0.000875296815415995,1634746695.3697963,57100.01,1634746696.4016724,8.752968155943165e-06,0.0,closed--1-n,211020-181815,211020-181816
32d8eaef,DOGEEUR,rand,long,0.2155,232.0185614849188,1634746695.6348724,0.2155,1634746697.6997676,0.0,0.0,closed--1-n,211020-181815,211020-181817
5d323a57,BTCUSDT,rand,long,66622.01,0.0007504187173013031,1634746697.4580314,66624.41,1634746698.5003219,0.0018010049215296793,0.0017,closed--1-n,211020-181817,211020-181818
4635d436,BTCEUR,rand,long,57100.01,0.000875296815415995,1634746698.4668434,57100.01,1634746699.4862823,0.0,0.0,closed--1-n,211020-181818,211020-181819
0f75bfc6,LTCEUR,rand,long,174.5,0.28653295128939826,1634746698.4926348,174.5,1634746698.5087206,0.0,0.0,closed--1-n,211020-181818,211020-181818
5d5d8b02,LTCEUR,rand,long,174.5,0.28653295128939826,1634746698.5191226,174.5,1634746698.5276415,0.0,0.0,closed--1-n,211020-181818,211020-181818
26b28f1d,DOGEEUR,rand,long,0.2155,232.0185614849188,1634746698.7268355,0.2155,1634746698.7417371,0.0,0.0,closed--1-n,211020-181818,211020-181818
87c7cb65,DOGEEUR,rand,long,0.2155,232.0185614849188,1634746698.7513013,0.2155,1634746698.7603526,0.0,0.0,closed--1-n,211020-181818,211020-181818
102187cd,DOGEEUR,rand,long,0.2155,232.0185614849188,1634746698.770608,0.2155,1634746698.7834628,0.0,0.0,closed--1-n,211020-181818,211020-181818
a5e8dd13,DOGEEUR,rand,long,0.2155,232.0185614849188,1634746698.7931356,0.2155,1634746699.8086782,0.0,0.0,closed--1-n,211020-181818,211020-181819
8c7acafc,BTCEUR,rand,long,57100.01,0.000875296815415995,1634746699.4971523,57100.01,1634746699.5070403,0.0,0.0,closed--1-n,211020-181819,211020-181819
409d084a,BTCEUR,rand,long,57100.01,0.000875296815415995,1634746699.5202706,57100.01,1634746701.577021,0.0,0.0,closed--1-n,211020-181819,211020-181821
edfb969d,BTCUSDT,rand,long,66626.1,0.0007503996826042062,1634746699.5395937,66626.1,1634746699.5647342,0.0,0.0,closed--1-n,211020-181819,211020-181819
6cc186aa,LTCEUR,rand,long,174.5,0.28653295128939826,1634746699.5527468,174.5,1634746702.6204314,0.0,0.0,closed--1-n,211020-181819,211020-181822
1540a7b9,BTCUSDT,rand,long,66626.1,0.0007503996826042062,1634746699.5782766,66626.1,1634746699.5893145,0.0,0.0,closed--1-n,211020-181819,211020-181819
4c929f94,BTCUSDT,rand,long,66626.1,0.0007503996826042062,1634746699.6007605,66626.1,1634746699.6116147,0.0,0.0,closed--1-n,211020-181819,211020-181819
a11bda69,DOGEEUR,rand,long,0.2155,232.0185614849188,1634746699.8214915,0.2155,1634746699.8343503,0.0,0.0,closed--1-n,211020-181819,211020-181819
7dc407a8,BTCUSDT,rand,long,66626.09,0.0007503997952327101,1634746700.643101,66626.1,1634746701.6776435,7.503997959315744e-06,0.0,closed--1-n,211020-181820,211020-181821
8742930c,DOGEEUR,rand,long,0.2155,232.0185614849188,1634746700.8683019,0.2155,1634746700.8858929,0.0,0.0,closed--1-n,211020-181820,211020-181820
9a2eeda0,BTCEUR,rand,long,57100.01,0.000875296815415995,1634746701.5950987,57100.01,1634746702.6195414,0.0,0.0,closed--1-n,211020-181821,211020-181822
f31c81e0,BTCEUR,rand,long,57100.01,0.000875296815415995,1634746702.6397653,57100.01,1634746702.6612155,0.0,0.0,closed--1-n,211020-181822,211020-181822
877e23b9,LTCEUR,rand,long,174.5,0.28653295128939826,1634746702.648552,174.5,1634746703.6674514,0.0,0.0,closed--1-n,211020-181822,211020-181823
5b60f339,BTCEUR,rand,long,57100.01,0.000875296815415995,1634746702.6734917,57100.01,1634746702.6856704,0.0,0.0,closed--1-n,211020-181822,211020-181822
126ff0ad,DOGEEUR,rand,long,0.2155,232.0185614849188,1634746702.9283333,0.2155,1634746704.9935734,0.0,0.0,closed--1-n,211020-181822,211020-181824
6db44506,LTCEUR,rand,long,174.5,0.28653295128939826,1634746703.678755,174.6,1634746704.7162404,0.0286532951289382,0.0276,closed--1-n,211020-181823,211020-181824
3cf7ada4,BTCUSDT,rand,long,66626.28,0.0007503977679251201,1634746703.7097797,66626.28,1634746703.7230527,0.0,0.0,closed--1-n,211020-181823,211020-181823
1c49ea08,LTCEUR,rand,long,174.6,0.286368843069874,1634746704.752789,174.6,1634746704.7655604,0.0,0.0,closed--1-n,211020-181824,211020-181824
aae9ea76,BTCEUR,rand,long,57122.73,0.0008749486747783496,1634746705.7396784,57122.74,1634746707.7908816,8.749486743199911e-06,0.0,closed--1-n,211020-181825,211020-181827
f4614f9d,BTCUSDT,rand,long,66653.18,0.0007500949211598617,1634746706.7952025,66653.18,1634746706.8352232,0.0,0.0,closed--1-n,211020-181826,211020-181826
0047f81b,LTCEUR,rand,long,174.6,0.286368843069874,1634746706.823098,174.6,1634746706.847663,0.0,0.0,closed--1-n,211020-181826,211020-181826
419c717f,BTCEUR,rand,long,57122.74,0.0008749486747783496,1634746707.804425,57122.74,1634746707.8164697,0.0,0.0,closed--1-n,211020-181827,211020-181827
