,close,tsv_so_k100,mav_short,mav_medium,ema_short,ema_med,k_line,d_line,so_20,so_80,macd_ema_fast,macd_ema_slow,macd_base,macd_signal,macd_hist,macd_color,bohlinger_upper,bohlinger_lower,ema_switch,so_switch,macd_switch
2021-09-11 16:11:40+02:00,45537.516,0,45539.903125,45557.8041015625,45540.0895185373,45548.4671888403,3.3872209391839876,1.1290736463946625,20,80,45557.99193878992,45547.47411727608,-10.517821513843955,-8.549545565411673,-1.9682759484322823,red,45574.364283492134,45541.24391963286,0,1,0
2021-09-11 16:11:42+02:00,45538.484,0,45538.74375,45555.7291015625,45539.55447069154,45547.04107254887,6.5691557608416735,3.318792233341887,20,80,45556.54693406475,45546.091080002836,-10.45585406191094,-8.930807264711527,-1.5250467971994137,red,45573.53893987662,45537.91926324838,0,1,0
2021-09-11 16:11:44+02:00,45534.48,0,45537.24765625,45553.5755859375,45537.86313671103,45545.246700546835,0.0,3.318792233341887,20,80,45554.912381078466,45544.304832117785,-10.607548960681015,-9.266155603905425,-1.3413933567755905,red,45572.58121600314,45534.569955871855,0,0,0
2021-09-11 16:11:46+02:00,45530.105,0,45535.4140625,45551.2033203125,45535.27724739069,45543.08366740121,0.0,2.1897185869472247,20,80,45553.0748320171,45542.120314676584,-10.95451734051312,-9.603827951226965,-1.3506893892861562,red,45571.3684390303,45531.0382015947,0,0,0
2021-09-11 16:11:48+02:00,45529.266,0,45533.9703125,45548.7890625,45533.273373260454,45541.10966131903,0.0,0.0,20,80,45551.31118705287,45540.14267011096,-11.168516941907,-9.916765749362973,-1.2517511925440274,red,45570.04651621289,45527.53160878711,0,0,0
2021-09-11 16:11:50+02:00,45528.926,0,45532.25234375,45546.3576171875,45531.82417592363,45539.36910700466,0.0,0.0,20,80,45549.65300884525,45538.41699490158,-11.236013943671423,-10.180615388224663,-1.0553985554467609,red,45568.601934911836,45524.11329946317,0,0,0
2021-09-11 16:11:52+02:00,45532.273,0,45531.01015625,45544.5376953125,45531.97392978242,45538.35543992319,17.55068605365554,5.850228684551847,20,80,45548.36563319005,45537.471832224415,-10.893800965634,-10.32325250370653,-0.5705484619274692,red,45567.58266626567,45521.492724359334,0,1,0
2021-09-11 16:11:54+02:00,45532.266,0,45530.5671875,45543.244140625,45532.07116152162,45537.48546635583,17.520491803278688,11.690392618978075,20,80,45547.17303999078,45536.67087726681,-10.502162723969377,-10.3590345477591,-0.1431281762102774,red,45566.88516373694,45519.60311751306,0,1,0
2021-09-11 16:11:56+02:00,45529.766,0,45530.49921875,45541.3859375,45531.30264934775,45536.38263186893,4.880817253121453,13.317331703351892,20,80,45545.88360184332,45535.60853076423,-10.275071079093323,-10.342241854025945,0.06717077493262202,green,45565.45539667315,45517.31647832686,0,0,1
2021-09-11 16:11:58+02:00,45531.17,0,45530.88046875,45539.683984375,45531.259057898504,45535.63823802618,14.627321292292038,12.342876782897392,20,80,45544.79384429937,45534.92596833896,-9.867875960408128,-10.247368675302381,0.37949271489425307,green,45563.95363813245,45515.41433061755,0,1,0
2021-09-11 16:12:00+02:00,45528.867,0,45530.86875,45537.944140625,45530.46176776567,45534.670945089034,0.0,6.502712848471163,20,80,45543.61409194386,45533.993848209895,-9.620243733967072,-10.12194368703532,0.5016999530682469,green,45562.21809653168,45513.670184718314,0,0,0
2021-09-11 16:12:02+02:00,45528.86,0,45530.1859375,45536.65390625,45529.92763684378,45533.84072078705,0.0,4.875773764097346,20,80,45542.52114994802,45533.20392925453,-9.317220693490526,-9.96099908832636,0.6437783948358344,green,45560.727881124345,45512.57993137566,0,0,0
2021-09-11 16:12:04+02:00,45531.16,0,45529.96484375,45535.8630859375,45530.338476645855,45533.457782994636,23.90422077922078,7.968073593073593,20,80,45541.67959485928,45532.889502638456,-8.790092220820952,-9.72681771482528,0.9367254940043281,green,45559.55063156024,45512.175540314754,0,1,0
2021-09-11 16:12:06+02:00,45531.645,0,45530.340625,45535.0453125,45530.773828180565,45533.1987470303,28.93668831168831,17.613636363636363,20,80,45540.936256814144,45532.697968578694,-8.238288235450455,-9.429111818950316,1.1908235834998617,green,45558.1757231666,45511.9149018334,0,0,0
2021-09-11 16:12:08+02:00,45538.46,0,45531.7984375,45534.5689453125,45533.33619795371,45533.950488528,99.75649350649351,50.86580086580087,20,80,45540.75289982791,45533.584579181974,-7.1683206459347275,-8.976953584347198,1.8086329384124706,green,45556.939916012685,45512.19797461232,0,0,0
